"expense_id";"user_id";"expense_amount";"discount_percentage";"frequency";"expense_type";"rating"
"184";"24504";"25.89";"15.628";"11";"A";"5"
"185";"26122";"36.71";"19.379";"17";"F";"10"
"186";"5155";"46.75";"35.315";"15";" ";"10"
"187";"3572";"81.71";"8.636";"1";"C";"3"
"188";"14870";"39.58";"2.265";"5";"B";"6"
"189";"28955";"55.68";"28.673";"9";" ";"5"
"190";"12207";"46.77";"3.266";"8";"C";"5"
"191";"11755";"30.89";"36.620";"5";" ";"6"
"192";"23060";"59.49";"14.003";"17";"F";"2"
"193";"22306";"51.48";"44.532";"17";"E";"4"
"194";"4676";"45.24";"34.426";"12";"D";"5"
"195";"2171";"82.15";"10.108";"11";" ";"1"
"196";"1132";"86.74";"54.839";"12";"C";"6"
"197";"8596";"95.80";"23.886";"5";"F";"8"
"198";"20804";"5.54";"29.827";"3";"F";"5"
"199";"4606";"65.45";"40.313";"10";"D";"3"
"200";"21675";"71.22";"8.973";"15";"D";"10"
"201";"16065";"7.82";"14.199";"1";"B";"6"
"202";"18152";"5.86";"6.380";"1";"E";"5"
"203";"3183";"68.29";"24.773";"19";"D";"8"
"204";"984";"22.94";"5.871";"16";"A";"3"
"205";"28406";"86.79";"45.489";"14";"C";"8"
"206";"19878";"92.25";"46.956";"17";"D";"10"
"207";"1630";"26.89";"26.157";"9";" ";"7"
"208";"13549";"15.37";"2.407";"2";"E";"8"
"209";"23728";"32.56";"17.458";"3";"F";"7"
"210";"13505";"40.33";"5.716";"16";"F";"2"
"211";"11569";"35.14";"39.570";"10";"E";"10"
"212";"22915";"14.38";"16.228";"12";"E";"5"
"213";"11133";"62.50";"12.857";"19";"A";"8"
"214";"19591";"78.54";"25.403";"3";"D";"4"
"215";"4167";"54.13";"44.521";"7";"F";"7"
"216";"3717";"27.35";"47.310";"8";"F";"10"
"217";"22928";"69.34";"7.756";"6";" ";"9"
"218";"28378";"52.68";"32.325";"14";"B";"8"
"219";"14498";"82.25";"6.186";"7";"F";"9"
"220";"28889";"37.06";"17.136";"4";" ";"6"
"221";"13780";"97.85";"28.215";"12";" ";"6"
"222";"7722";"80.56";"37.868";"5";"D";"6"
"223";"24773";"24.09";"47.339";"12";"B";"8"
"224";"21916";"48.45";"19.017";"10";" ";"8"
"225";"11324";"84.33";"51.823";"3";"C";"2"
"226";"14839";"6.39";"30.993";"14";"D";"8"
"227";"16655";"63.46";"52.011";"1";"F";"9"
"228";"26123";"96.62";"11.875";"11";"A";"6"
"229";"14373";"57.05";"46.959";"15";"D";"5"
"230";"12181";"8.44";"2.279";"7";"F";"7"
"231";"29230";"31.05";"27.018";"4";" ";"9"
"232";"3853";"37.76";"42.630";"19";" ";"3"
"233";"5889";"38.56";"3.662";"6";"B";"3"
"234";"1719";"33.05";"49.089";"14";"B";"2"
"235";"882";"95.41";"36.263";"5";"C";"7"
"236";"21416";"73.09";"30.763";"3";"E";"8"
"237";"28855";"96.62";"2.808";"7";"B";"9"
"238";"18897";"41.27";"17.164";"1";" ";"9"
"239";"10911";"23.06";"20.014";"6";"E";"5"
"240";"17598";"17.01";"7.747";"2";"D";"8"
"241";"10361";"36.19";"32.468";"7";"E";"2"
"242";"10869";"46.77";"23.002";"11";"C";"7"
"243";"27440";"62.34";"40.957";"16";"A";"8"
"244";"3063";"98.30";"24.976";"9";"D";"2"
"245";"13218";"71.98";"35.750";"1";"B";"5"
"246";"4744";"81.69";"39.373";"11";"C";"1"
"247";"18510";"72.75";"36.424";"11";"F";"6"
"248";"16624";"90.82";"18.612";"11";"C";"6"
"249";"4880";"57.84";"49.721";"11";"B";"7"
"250";"10228";"13.39";"31.667";"7";" ";"5"
"251";"10467";"92.74";"22.700";"2";"C";"7"
"252";"20481";"14.45";"19.119";"15";" ";"3"
"253";"9942";"5.08";"5.490";"13";"F";"4"
"254";"27410";"76.89";"39.226";"15";"B";"6"
"255";"18303";"74.69";"39.108";"18";"B";"6"
"256";"17479";"45.53";"44.175";"3";"C";"4"
"257";"21022";"78.63";"40.753";"9";"E";"4"
"258";"28349";"82.88";"51.436";"3";" ";"5"
"259";"24998";"91.16";"13.031";"6";"E";"2"
"260";"4534";"26.19";"16.957";"16";" ";"6"
"261";"12249";"80.49";"28.720";"1";"B";"2"
"262";"23417";"62.81";"6.420";"14";"E";"2"
"263";"26255";"78.62";"17.519";"4";"F";"8"
"264";"20979";"5.45";"24.779";"19";"F";"10"
"265";"9621";"48.82";"43.441";"16";"E";"6"
"266";"4163";"71.77";"12.345";"16";"A";"10"
"267";"5318";"89.74";"33.664";"17";"B";"6"
"268";"25627";"38.52";"18.240";"12";" ";"8"
"269";"9709";"30.43";"37.269";"10";" ";"3"
"270";"21998";"8.72";"49.895";"6";"C";"10"
"271";"5822";"90.57";"32.517";"8";"F";"3"
"272";"29471";"16.19";"12.324";"15";"F";"10"
"273";"22813";"55.54";"19.033";"3";"F";"7"
"274";"6533";"19.18";"25.961";"11";"F";"9"
"275";"4984";"60.51";"23.030";"15";"F";"1"
"276";"23373";"62.92";"6.872";"4";"D";"2"
"277";"8077";"44.45";"13.352";"7";"B";"9"
"278";"11835";"41.23";"9.809";"2";"C";"9"
"279";"10695";"66.79";"8.056";"6";"F";"3"
"280";"12979";"97.51";"8.171";"10";" ";"5"
"281";"5554";"61.90";"37.174";"10";" ";"5"
"282";"11085";"80.92";"40.837";"19";" ";"10"
"283";"21633";"49.14";"23.871";"14";"F";"7"
"284";"7139";"8.40";"54.873";"10";"B";"6"
"285";"11985";"56.26";"42.235";"11";"A";"9"
"286";"25442";"19.12";"48.064";"13";"E";"7"
"287";"13048";"47.14";"33.825";"6";"A";"5"
"288";"27210";"18.22";"13.423";"15";"A";"6"
"289";"21144";"41.23";"19.834";"8";"E";"1"
"290";"16950";"39.40";"13.730";"5";" ";"3"
"291";"910";"67.80";"31.310";"11";"D";"3"
"292";"9340";"30.54";"27.709";"7";" ";"2"
"293";"26929";"63.15";"48.716";"19";"F";"9"
"294";"11705";"46.92";"20.364";"10";"B";"8"
"295";"15031";"73.40";"43.591";"7";"B";"6"
"296";"26755";"71.33";"44.526";"10";"B";"10"
"297";"25140";"92.15";"43.541";"17";"A";"10"
"298";"11388";"11.56";"44.665";"11";"B";"1"
"299";"28315";"6.03";"40.896";"16";"A";"9"
"300";"2605";"75.37";"4.038";"14";" ";"4"
"301";"6663";"36.55";"41.328";"1";"B";"7"
"302";"13349";"76.96";"54.133";"6";"E";"4"
"303";"7237";"35.97";"34.655";"12";"E";"6"
"304";"27430";"30.09";"30.774";"19";" ";"1"
"305";"20655";"19.23";"13.307";"11";" ";"1"
"306";"11668";"76.40";"50.198";"9";"C";"9"
"307";"2896";"54.73";"50.844";"19";"A";"9"
"308";"16877";"24.91";"48.710";"17";"D";"4"
"309";"13868";"23.81";"35.318";"11";"E";"1"
"310";"24029";"66.86";"44.589";"9";"C";"4"
"311";"27394";"37.00";"26.861";"9";"A";"5"
"312";"19549";"16.17";"51.934";"15";"C";"9"
"313";"25447";"35.04";"38.630";"4";"B";"3"
"314";"27273";"44.35";"12.365";"18";"A";"6"
"315";"23816";"64.40";"29.920";"10";" ";"10"
"316";"14182";"75.01";"28.834";"3";"F";"3"
"317";"1750";"71.61";"50.668";"7";"E";"10"
"318";"1553";"74.30";"8.530";"18";"E";"6"
"319";"4514";"51.75";"53.071";"14";" ";"9"
"320";"15800";"17.99";"18.954";"5";"F";"3"
"321";"14102";"86.77";"29.800";"11";"A";"7"
"322";"5857";"81.66";"29.324";"13";"B";"8"
"323";"8775";"34.44";"36.333";"6";"D";"2"
"324";"25678";"19.03";"45.699";"14";"B";"8"
"325";"2156";"76.34";"3.847";"17";"F";"2"
"326";"15647";"28.66";"42.218";"17";"E";"5"
"327";"521";"64.99";"27.428";"19";" ";"2"
"328";"24143";"46.66";"22.008";"3";"E";"9"
"329";"19743";"81.09";"52.346";"5";" ";"4"
"330";"24533";"51.44";"12.309";"14";"F";"4"
"331";"1751";"46.61";"34.587";"12";"C";"1"
"332";"14810";"79.24";"22.611";"17";"F";"6"
"333";"25679";"26.24";"26.348";"14";"D";"4"
"334";"24919";"6.10";"43.784";"1";" ";"5"
"335";"13671";"93.91";"8.845";"1";"F";"7"
"336";"1302";"53.40";"45.206";"2";"D";"9"
"337";"29151";"84.33";"7.563";"6";" ";"4"
"338";"11247";"37.59";"16.194";"2";" ";"10"
"339";"19095";"33.52";"45.243";"9";"C";"3"
"340";"20298";"51.51";"12.538";"9";"A";"9"
"341";"7658";"46.20";"37.658";"4";"F";"5"
"342";"13060";"38.91";"46.444";"7";"F";"9"
"343";"23100";"25.42";"18.170";"16";"E";"4"
"344";"9328";"79.91";"35.426";"15";"F";"4"
"345";"2390";"11.45";"26.129";"9";" ";"7"
"346";"987";"82.32";"18.767";"9";"B";"3"
"347";"22653";"38.82";"36.372";"8";"A";"2"
"348";"2889";"97.50";"37.837";"16";" ";"1"
"349";"22792";"21.57";"33.375";"6";"A";"9"
"350";"10575";"66.12";"13.278";"17";"F";"5"
"351";"28412";"54.58";"41.714";"7";"D";"6"
"352";"13631";"52.56";"34.297";"3";"D";"10"
"353";"6534";"25.39";"51.567";"16";"D";"3"
"354";"728";"95.66";"28.235";"13";"E";"2"
"355";"25824";"90.59";"22.954";"16";" ";"3"
"356";"2594";"94.48";"38.316";"13";"C";"1"
"357";"16116";"19.03";"45.553";"9";"D";"10"
"358";"15672";"33.97";"17.391";"2";"D";"9"
"359";"12220";"81.79";"5.279";"15";"C";"6"
"360";"1822";"86.26";"50.012";"15";"E";"7"
"361";"7120";"86.53";"41.906";"6";"C";"4"
"362";"9654";"36.33";"43.082";"5";"E";"10"
"363";"20247";"38.32";"43.040";"12";"E";"10"
"364";"25747";"12.16";"46.575";"19";"F";"2"
"365";"6185";"51.23";"2.660";"2";"A";"10"
"366";"4248";"26.66";"24.851";"2";"D";"10"
"367";"18827";"42.61";"28.322";"13";"B";"8"
"368";"5538";"13.52";"5.132";"3";"D";"9"
"369";"5499";"12.89";"15.107";"9";"A";"3"
"370";"12649";"12.65";"32.964";"4";" ";"8"
"371";"14602";"93.62";"53.140";"8";"E";"3"
"372";"24770";"69.18";"34.417";"11";"B";"8"
"373";"6283";"63.14";"19.709";"6";"A";"6"
"374";"18906";"17.82";"30.203";"8";" ";"1"
"375";"928";"81.25";"16.210";"12";"E";"7"
"376";"14793";"81.98";"6.667";"19";"D";"10"
"377";"23946";"49.04";"20.871";"11";"A";"6"
"378";"25022";"10.55";"40.555";"13";"A";"5"
"379";"16688";"7.09";"54.289";"18";"D";"6"
"380";"27064";"99.28";"10.930";"18";"A";"1"
"381";"5833";"54.81";"3.669";"8";" ";"6"
"382";"14881";"58.82";"25.253";"3";"E";"10"
"383";"13071";"26.89";"17.619";"1";" ";"6"
"384";"20259";"91.29";"4.887";"19";"A";"3"
"385";"9889";"57.43";"41.943";"18";"E";"5"
"386";"5737";"91.29";"25.624";"10";" ";"3"
"387";"25368";"88.58";"5.364";"1";" ";"1"
"388";"7264";"7.68";"53.764";"2";"A";"1"
"389";"20165";"80.89";"25.078";"18";"C";"5"
"390";"21954";"62.37";"48.999";"18";"A";"6"
"391";"7039";"58.32";"13.247";"10";"D";"5"
"392";"1118";"91.00";"52.978";"3";"A";"2"
"393";"28767";"48.44";"48.110";"16";"D";"6"
"394";"9001";"38.55";"45.737";"5";"A";"5"
"395";"3719";"95.92";"30.681";"10";"B";"5"
"396";"20820";"66.77";"3.573";"4";" ";"7"
"397";"29064";"88.12";"10.521";"11";"F";"1"
"398";"22911";"15.49";"19.432";"2";"A";"4"
"399";"870";"37.26";"15.483";"8";"A";"8"
"400";"21714";"14.59";"48.139";"11";" ";"9"
"401";"5049";"91.93";"47.431";"17";"E";"5"
"402";"5590";"14.67";"22.164";"2";"F";"5"
"403";"23003";"47.19";"8.471";"13";"C";"10"
"404";"19601";"84.79";"38.733";"6";"E";"9"
"405";"20564";"83.36";"32.897";"14";" ";"6"
"406";"12401";"67.05";"13.868";"14";"E";"1"
"407";"11643";"65.30";"19.898";"16";"B";"3"
"408";"4749";"83.08";"28.705";"2";"F";"10"
"409";"28113";"47.71";"26.016";"7";"D";"3"
"410";"840";"42.52";"53.322";"4";"C";"4"
"411";"17537";"55.53";"19.390";"19";"F";"1"
"412";"1165";"31.34";"49.615";"14";"A";"1"
"413";"25743";"11.02";"24.103";"2";" ";"3"
"414";"16860";"7.24";"43.061";"16";"C";"7"
"415";"16830";"49.89";"51.498";"5";" ";"6"
"416";"991";"83.24";"9.510";"1";"B";"10"
"417";"14810";"58.56";"39.170";"4";"F";"10"
"418";"23026";"88.37";"37.725";"18";"B";"9"
"419";"19235";"71.65";"35.147";"5";"E";"4"
"420";"14649";"25.71";"8.888";"18";"A";"6"
"421";"10906";"98.68";"8.633";"4";" ";"1"
"422";"2565";"7.49";"13.745";"13";"F";"3"
"423";"25427";"40.17";"29.184";"16";"F";"7"
"424";"22597";"16.84";"9.020";"17";"B";"2"
"425";"7626";"25.53";"16.007";"10";"E";"7"
"426";"8539";"82.00";"20.389";"1";"C";"7"
"427";"22553";"23.02";"34.793";"13";"C";"6"
"428";"13938";"64.52";"43.497";"4";"E";"6"
"429";"25895";"46.95";"42.649";"3";"F";"5"
"430";"2782";"47.07";"8.035";"11";"A";"7"
"431";"7647";"44.58";"42.602";"15";"A";"10"
"432";"5081";"30.79";"53.789";"10";"F";"2"
"433";"21417";"72.28";"44.728";"13";"B";"4"
"434";"8115";"7.00";"49.172";"18";"D";"7"
"435";"23692";"18.70";"16.041";"9";" ";"5"
"436";"17931";"67.52";"47.005";"10";"F";"3"
"437";"5430";"84.79";"8.456";"15";" ";"10"
"438";"4166";"94.86";"17.734";"6";"E";"2"
"439";"23768";"40.65";"50.983";"14";"D";"4"
"440";"17666";"8.68";"6.970";"17";"B";"6"
"441";"18169";"38.29";"39.674";"6";"B";"1"
"442";"6843";"40.45";"33.353";"9";"E";"5"
"443";"3495";"23.57";"38.953";"3";"C";"3"
"444";"18777";"71.25";"48.688";"11";"E";"1"
"445";"16850";"12.41";"13.391";"11";" ";"6"
"446";"23084";"13.45";"43.601";"11";"B";"10"
"447";"6270";"55.39";"50.861";"5";"D";"1"
"448";"13449";"74.81";"40.782";"2";"D";"1"
"449";"17027";"71.73";"15.729";"8";"A";"1"
"450";"10794";"92.48";"20.234";"9";"F";"1"
"451";"15254";"45.46";"14.635";"9";"B";"10"
"452";"16526";"70.27";"46.974";"3";"A";"9"
"453";"6880";"91.04";"43.719";"5";"B";"7"
"454";"10743";"79.02";"36.376";"3";"C";"8"
"455";"20913";"57.77";"28.699";"1";"D";"8"
"456";"14469";"62.74";"8.648";"5";"B";"5"
"457";"979";"95.50";"39.039";"18";"B";"2"
"458";"26292";"27.22";"53.302";"12";"D";"8"
"459";"13980";"80.88";"23.832";"7";"D";"8"
"460";"3353";"99.97";"53.666";"12";"E";"3"
"461";"4403";"11.00";"30.231";"12";"C";"6"
"462";"1188";"14.15";"46.549";"14";"E";"4"
"463";"19895";"15.54";"5.299";"3";"E";"9"
"464";"23353";"58.01";"51.753";"17";"A";"6"
"465";"15884";"83.42";"43.617";"16";"C";"6"
"466";"1944";"79.97";"28.360";"18";"C";"4"
"467";"1838";"56.03";"24.260";"1";"A";"4"
"468";"18957";"76.28";"40.735";"2";"D";"9"
"469";"4933";"37.70";"44.306";"15";" ";"6"
"470";"24125";"74.80";"33.968";"19";"C";"6"
"471";"18559";"62.93";"26.085";"9";"A";"3"
"472";"16464";"76.65";"51.376";"18";"B";"4"
"473";"22362";"9.64";"10.749";"4";"F";"10"
"474";"15868";"56.18";"31.731";"19";"E";"8"
"475";"27847";"70.08";"14.961";"11";"B";"4"
"476";"26997";"38.33";"14.466";"13";"E";"10"
"477";"18912";"64.54";"47.493";"2";"C";"6"
"478";"579";"82.04";"53.911";"7";" ";"1"
"479";"16200";"99.76";"47.183";"18";" ";"3"
"480";"5275";"13.80";"27.637";"19";" ";"6"
"481";"28828";"94.77";"39.092";"4";"A";"4"
"482";"21041";"89.62";"54.437";"3";" ";"9"
"483";"8714";"90.64";"53.978";"9";"D";"4"
"484";"22415";"69.97";"5.653";"15";"C";"5"
"485";"4292";"13.76";"3.538";"16";"F";"10"
"486";"18673";"14.41";"53.674";"10";"F";"8"
"487";"990";"91.96";"31.797";"14";"B";"7"
"488";"14068";"56.16";"5.345";"6";"B";"7"
"489";"23885";"65.57";"35.713";"10";" ";"2"
"490";"4340";"11.94";"7.970";"7";"F";"7"
"491";"4671";"56.75";"29.421";"3";"C";"2"
"492";"13794";"14.87";"33.147";"9";"E";"2"
"493";"23998";"26.66";"47.635";"11";"E";"5"
"494";"4484";"57.72";"20.705";"18";"B";"1"
"495";"8342";"74.95";"29.314";"14";"A";"4"
"496";"5170";"99.37";"4.053";"13";"A";"3"
"497";"13916";"18.08";"50.848";"16";"D";"8"
"498";"26404";"85.80";"14.436";"9";"C";"5"
"499";"14676";"78.01";"38.675";"19";" ";"3"
"500";"24799";"6.24";"16.651";"10";"D";"4"
"501";"631";"15.34";"49.360";"19";"A";"6"
"502";"8833";"59.02";"28.302";"4";"B";"10"
"503";"26242";"96.58";"28.001";"4";"B";"1"
"504";"28935";"76.81";"42.924";"1";" ";"2"
"505";"997";"99.76";"5.971";"1";"F";"3"
"506";"6702";"60.62";"44.231";"6";"D";"2"
"507";"26614";"80.88";"47.882";"3";"D";"6"
"508";"2652";"66.41";"41.356";"15";"F";"5"
"509";"10224";"7.39";"38.551";"6";"E";"6"
"510";"19113";"83.88";"6.572";"6";"C";"10"
"511";"9372";"73.45";"2.194";"17";"B";"9"
"512";"14340";"18.56";"5.528";"17";"C";"8"
"513";"29323";"30.43";"44.458";"7";"F";"8"
"514";"11294";"10.94";"11.676";"12";"C";"7"
"515";"2092";"26.67";"43.599";"2";" ";"9"
"516";"4582";"19.62";"22.685";"10";"E";"8"
